,ORCID,DOI
0,0000-0001-6297-4298,10.1108/JHOM-02-2023-0036
1,0000-0002-2899-0048,10.1139/cjps-2024-0160
2,0000-0002-3772-5561,10.1123/jpah.2024-0225
3,0000-0001-9889-5313,10.1126/sciadv.adr2613
4,0000-0001-8418-449X,10.14814/phy2.70299
5,0000-0001-9229-8569,10.58188/1941-8043.1920
6,0000-0001-9229-8569,10.33137/cjal-rcbu.v11.44650
7,0000-0001-9229-8569,10.63409/2024.49
8,0009-0003-4263-5821,10.1177/01454455251332545
9,0000-0002-2953-4845,10.1021/acs.est.4c10360
10,0009-0009-2327-7890,10.1002/fer3.48
11,0009-0005-9150-8700,10.1113/JP289269
12,0000-0003-2063-6869,10.1007/s40979-025-00180-z
13,0000-0002-6591-6760,10.1002/ecog.07801
14,0000-0002-6591-6760,10.1371/journal.pone.0322682
15,0000-0002-6591-6760,10.1111/brv.70002
16,0000-0002-6591-6760,10.1242/jeb.250297
17,0000-0002-6591-6760,10.1139/cjz-2024-0063
18,0000-0002-6591-6760,10.1016/j.applanim.2024.106484
19,0000-0002-6591-6760,10.1111/jav.03248
20,0000-0002-6591-6760,10.1002/ECY.4525
21,0000-0001-9219-0232,10.4049/immunohorizons.2000040
22,0000-0003-2126-3160,10.1016/j.appdev.2025.101769
23,0000-0003-2126-3160,10.1080/13676261.2024.2392197
24,0000-0003-2126-3160,10.1016/j.lindif.2023.102405
25,0000-0003-2126-3160,10.1037/cap0000357
26,0000-0003-2126-3160,10.1111/cdev.13855
27,0000-0003-2126-3160,10.1007/s10862-022-09972-w
28,0000-0003-2126-3160,10.1016/j.paid.2021.111492
29,0000-0003-2126-3160,10.1123/jsep.2020-0118
30,0000-0003-1476-2965,10.1177/03128962251334223
31,0000-0003-1476-2965,10.1108/IJOA-07-2024-4651
32,0000-0003-1476-2965,10.1111/EMRE.12611
33,0000-0003-1476-2965,10.1108/ijoa-07-2024-4651
34,0000-0003-1476-2965,10.1177/03063070241304481
35,0000-0003-1476-2965,10.1080/15228916.2024.2337336
36,0000-0003-1476-2965,10.1108/joepp-03-2024-0105
37,0000-0003-1476-2965,10.1002/cjas.1745
38,0000-0003-1476-2965,10.1108/joepp-11-2023-0528
39,0000-0003-1476-2965,10.1108/IJOA-10-2023-4056
40,0000-0003-1476-2965,10.1080/00208825.2023.2277968
41,0000-0003-1476-2965,10.1108/IJOA-10-2022-3442
42,0000-0003-1476-2965,10.1016/j.emj.2024.03.010
43,0000-0003-1476-2965,10.1108/joepp-04-2023-0150
44,0000-0003-1476-2965,10.1002/cjas.1737
45,0000-0003-1476-2965,10.1111/emre.12560
46,0000-0003-1476-2965,10.1017/JMO.2020.7
47,0000-0003-1476-2965,10.1007/s10551-023-05610-x
48,0000-0003-1476-2965,10.1111/1744-7941.12317
49,0000-0003-1476-2965,10.1017/jmo.2019.51
50,0000-0003-1476-2965,10.1007/s11365-022-00824-3
51,0000-0003-1476-2965,10.1080/00472778.2023.2235755
52,0000-0003-1476-2965,10.1108/joepp-07-2022-0215
53,0000-0003-1476-2965,10.1108/pr-11-2022-0764
54,0000-0003-1476-2965,10.1108/ijebr-12-2021-1056
55,0000-0003-1476-2965,10.1108/pr-02-2022-0090
56,0000-0003-1476-2965,10.1080/23322373.2023.2232131
57,0000-0003-1476-2965,10.1111/1467-8551.12573
58,0000-0003-1476-2965,10.1109/tem.2021.3065955
59,0000-0003-1476-2965,10.1017/jmo.2021.26
60,0000-0003-1476-2965,10.1111/emre.12611
61,0000-0003-1476-2965,10.1080/00224545.2021.1973945
62,0000-0003-1476-2965,10.1002/cjas.1705
63,0000-0003-1476-2965,10.1108/md-11-2022-1522
64,0000-0003-1476-2965,10.1108/mrr-08-2022-0602
65,0000-0003-1476-2965,10.1017/jmo.2021.3
66,0000-0003-1476-2965,10.1108/joepp-11-2022-0315
67,0000-0003-1476-2965,10.1016/j.emj.2022.02.005
68,0000-0003-1476-2965,10.1080/10400419.2023.2205702
69,0000-0003-1476-2965,10.1177/03063070231191878
70,0000-0003-1476-2965,10.1016/j.emj.2023.02.004
71,0000-0003-1476-2965,10.1007/s10869-021-09750-7
72,0000-0003-1476-2965,10.1177/03128962211037772
73,0000-0003-1476-2965,10.1108/pr-04-2021-0294
74,0000-0003-1476-2965,10.1108/ijebr-06-2021-0465
75,0000-0003-1476-2965,10.1111/beer.12436
76,0000-0003-1476-2965,10.1108/pr-04-2022-0281
77,0000-0003-1476-2965,10.1177/00218863211059185
78,0000-0003-1476-2965,10.1108/ijebr-02-2021-0154
79,0000-0003-1476-2965,10.1109/tem.2020.2997965
80,0000-0003-1476-2965,10.1108/ijoa-04-2022-3227
81,0000-0003-1476-2965,10.1108/pr-06-2021-0430
82,0000-0003-1476-2965,10.1108/ijoa-07-2022-3350
83,0000-0003-1476-2965,10.1111/1744-7941.12291
84,0000-0003-1476-2965,10.1080/00208825.2022.2115369
85,0000-0003-1476-2965,10.1016/j.emj.2021.02.002
86,0000-0003-1476-2965,10.1108/pr-09-2020-0699
87,0000-0003-1476-2965,10.1108/joepp-11-2021-0313
88,0000-0003-1476-2965,10.1017/jmo.2022.51
89,0000-0003-1476-2965,10.1111/emre.12502
90,0000-0003-1476-2965,10.1017/jmo.2019.31
91,0000-0003-1476-2965,10.1016/j.erap.2021.100702
92,0000-0003-1476-2965,10.1515/erj-2021-0047
93,0000-0003-1476-2965,10.1108/ijcma-05-2021-0072
94,0000-0003-1476-2965,10.1108/joepp-06-2022-0163
95,0000-0003-1476-2965,10.1007/s10551-021-04735-1
96,0000-0003-1476-2965,10.1007/s11187-021-00549-7
97,0000-0003-1476-2965,10.1177/02662426211011405
98,0000-0003-1476-2965,10.1108/md-04-2021-0484
99,0000-0003-1476-2965,10.1108/pr-08-2021-0573
100,0000-0003-1476-2965,10.1108/md-03-2022-0307
101,0000-0003-1476-2965,10.1177/03128962211009581
102,0000-0003-1476-2965,10.1017/jmo.2021.34
103,0000-0003-1476-2965,10.1108/pr-05-2020-0326
104,0000-0003-1476-2965,10.1017/jmo.2020.48
105,0000-0003-1476-2965,10.1111/1744-7941.12241
106,0000-0003-1476-2965,10.1080/1359432x.2021.1928076
107,0000-0003-1476-2965,10.1007/s10551-020-04512-6
108,0000-0003-1476-2965,10.1177/0266242621996614
109,0000-0003-1476-2965,10.1108/pr-08-2020-0603
110,0000-0003-1476-2965,10.1177/0021886320917520
111,0000-0003-1476-2965,10.1080/00224545.2020.1851639
112,0000-0003-1476-2965,10.1007/s10551-019-04368-5
113,0000-0003-1476-2965,10.1108/joepp-05-2021-0121
114,0000-0003-1476-2965,10.1007/s11187-019-00287-x
115,0000-0003-1476-2965,10.1111/caim.12467
116,0000-0003-1476-2965,10.1002/cjas.1641
117,0000-0003-1476-2965,10.1108/pr-06-2020-0469
118,0000-0003-1476-2965,10.1108/md-07-2020-0900
119,0000-0003-1476-2965,10.1108/jkm-03-2021-0231
120,0000-0003-1476-2965,10.1108/pr-04-2019-0172
121,0000-0003-1476-2965,10.1017/jmo.2021.65
122,0000-0003-1476-2965,10.1080/00224545.2020.1778617
123,0000-0003-1476-2965,10.1177/0021886320979649
124,0000-0003-1476-2965,10.1002/cjas.1591
125,0000-0003-1476-2965,10.1017/jmo.2018.28
126,0000-0003-1476-2965,10.1177/0021886320910558
127,0000-0003-1476-2965,10.1080/00223980.2019.1705235
128,0000-0003-1476-2965,10.1108/pr-07-2019-0388
129,0000-0003-1476-2965,10.1108/PR-11-2018-0441
130,0000-0003-1476-2965,10.1108/pr-05-2020-0365
131,0000-0003-1476-2965,20.500.14171/112193
132,0000-0003-1476-2965,10.1017/jmo.2020.18
133,0000-0003-1476-2965,10.1108/IJEBR-03-2019-0185
134,0000-0003-1476-2965,10.1108/pr-01-2020-0007
135,0000-0003-1476-2965,10.1002/cjas.1560
136,0000-0003-1476-2965,10.1108/pr-11-2019-0600
137,0000-0003-1476-2965,10.1108/JKM-06-2019-0274
