,ORCID,DOI,issn,LICENSE_URL
0,0000-0002-2899-0048,10.1139/cjps-2024-0160,0008-4220,https://creativecommons.org/licenses/by/4.0/deed.en_GB
1,0000-0001-6297-4298,10.1108/JHOM-02-2023-0036,1477-7266,https://www.emerald.com/insight/site-policies
2,0009-0001-0969-055X,10.55982/openpraxis.17.2.832,2304-070X,No URL retrieved
3,0000-0002-3772-5561,10.1123/jpah.2024-0225,1543-3080,No URL retrieved
4,0009-0009-2327-7890,10.1002/fer3.48,2835-9402,http://creativecommons.org/licenses/by/4.0/
5,0000-0002-2953-4845,10.1021/acs.est.4c10360,0013-936X,https://doi.org/10.15223/policy-029
6,0000-0001-9229-8569,10.58188/1941-8043.1920,1941-8043,No URL retrieved
7,0000-0001-9229-8569,10.33137/cjal-rcbu.v11.44650,2369-937X,https://creativecommons.org/licenses/by-nc/4.0
8,0000-0001-9229-8569,10.63409/2024.49,2563-8882,http://creativecommons.org/licenses/by-nc/4.0
9,0009-0003-4263-5821,10.1177/01454455251332545,0145-4455,https://journals.sagepub.com/page/policies/text-and-data-mining-license
10,0000-0001-9637-6106,10.1080/10550887.2024.2355370,1055-0887,No URL retrieved
11,0000-0001-9637-6106,10.1016/j.paid.2018.01.012,0191-8869,https://www.elsevier.com/tdm/userlicense/1.0/
12,0009-0005-9150-8700,10.1113/JP289269,0022-3751,http://onlinelibrary.wiley.com/termsAndConditions#vor
13,0000-0001-9889-5313,10.1029/2023JE008184,2169-9097,http://creativecommons.org/licenses/by/4.0/
14,0000-0001-9889-5313,10.1126/sciadv.adr2613,2375-2548,No URL retrieved
15,0000-0001-8418-449X,10.14814/phy2.70299,2051-817X,http://creativecommons.org/licenses/by/4.0/
16,0000-0003-2063-6869,10.1007/s40979-025-00180-z,1833-2595,https://creativecommons.org/licenses/by-nc-nd/4.0
17,0000-0001-7621-752X,10.1089/aut.2024.0179,2573-9581,https://www.liebertpub.com/nv/resources-tools/text-and-data-mining-policy/121/
18,0000-0001-7621-752X,10.1108/PIJPSM-06-2024-0096,1363-951X,https://www.emerald.com/insight/site-policies
19,0000-0001-9219-0232,10.4049/immunohorizons.2000040,2573-7732,https://creativecommons.org/licenses/by/4.0/
20,0000-0003-2126-3160,10.1016/j.appdev.2025.101769,0193-3973,https://www.elsevier.com/tdm/userlicense/1.0/
21,0000-0003-2126-3160,10.1080/13676261.2024.2392197,1367-6261,No URL retrieved
22,0000-0003-2126-3160,10.1016/j.lindif.2023.102405,1041-6080,https://www.elsevier.com/tdm/userlicense/1.0/
23,0000-0003-2126-3160,10.1037/cap0000357,1878-7304,http://www.apa.org/pubs/journals/resources/open-access.aspx
24,0000-0003-2126-3160,10.1111/cdev.13855,0009-3920,http://onlinelibrary.wiley.com/termsAndConditions#vor
25,0000-0003-2126-3160,10.1007/s10862-022-09972-w,0882-2689,https://www.springer.com/tdm
26,0000-0003-2126-3160,10.1016/j.paid.2021.111492,0191-8869,https://www.elsevier.com/tdm/userlicense/1.0/
27,0000-0003-2126-3160,10.1123/jsep.2020-0118,0895-2779,No URL retrieved
28,0000-0001-5855-3706,10.1080/17445760.2024.2413509,1744-5760,No URL retrieved
29,0000-0001-5855-3706,10.61947/uw.PF.2024.75.3-4.41-62,0032-5430,No URL retrieved
30,0000-0001-5855-3706,10.48550/ARXIV.2312.14959,No ISSN found,No URL retrieved
31,0000-0001-8086-7752,10.1080/15265161.2025.2488264,1526-5161,No URL retrieved
32,0000-0001-8086-7752,10.1111/soin.70000,0038-0245,http://creativecommons.org/licenses/by-nc/4.0/
33,0000-0002-3626-5903,10.18584/iipj.2024.15.3.15359,1916-5781,https://creativecommons.org/licenses/by-nc-nd/4.0
34,0009-0006-6738-7010,10.1177/13691481241309271,1369-1481,https://creativecommons.org/licenses/by/4.0/
35,0000-0002-4394-7195,10.63144/ijt.2025.6652,1945-2020,https://creativecommons.org/licenses/by/4.0
36,0000-0003-3777-1987,10.1177/00187267241251956,0018-7267,https://journals.sagepub.com/page/policies/text-and-data-mining-license
37,0009-0006-7695-9359,10.25071/28169344.12,2816-9344,https://creativecommons.org/licenses/by-nc/4.0
38,0000-0002-5404-002X,10.1111/ijmr.12394,1460-8545,http://creativecommons.org/licenses/by-nc-nd/4.0/
39,0009-0001-1210-1648,10.1093/jbmr/zjae187,0884-0431,https://creativecommons.org/licenses/by/4.0/
40,0000-0003-3042-5862,10.1080/14623943.2025.2494308,1462-3943,No URL retrieved
41,0000-0002-9407-9527,10.20360/langandlit29758,1496-0974,No URL retrieved
42,0000-0003-1549-6021,10.1007/s42322-024-00182-4,2206-3110,https://www.springernature.com/gp/researchers/text-and-data-mining
43,0000-0002-0517-0936,10.11124/JBIES-24-00180,2689-8381,http://creativecommons.org/licenses/by-nc-nd/4.0/
44,0000-0002-1264-3826,10.1103/PhysRevMaterials.9.036201,2475-9953,https://link.aps.org/licenses/aps-default-license
45,0000-0003-0789-2729,10.1111/bjso.12900,0144-6665,http://creativecommons.org/licenses/by-nc-nd/4.0/
46,0000-0003-0789-2729,10.1177/19485506241305698,1948-5506,https://creativecommons.org/licenses/by-nc/4.0/
47,0000-0003-0789-2729,10.1002/casp.70009,1052-9284,http://creativecommons.org/licenses/by-nc-nd/4.0/
48,0000-0003-0789-2729,10.1007/s10508-023-02797-y,0004-0002,https://www.springernature.com/gp/researchers/text-and-data-mining
49,0000-0002-6293-4197,10.1016/j.drugpo.2025.104840,0955-3959,https://www.elsevier.com/tdm/userlicense/1.0/
50,0000-0002-6293-4197,10.1159/000544104,1022-6877,https://creativecommons.org/licenses/by/4.0/
51,0000-0002-6293-4197,10.1111/dar.14010,0959-5236,http://creativecommons.org/licenses/by/4.0/
