ORCID,DOI,issn,LICENSE_URL,standard_url,policy_uri,submitted_oa_policy,accepted_oa_policy,published_oa_policy
0000-0002-2899-0048,10.1139/cjps-2024-0160,0008-4220,https://creativecommons.org/licenses/by/4.0/deed.en_GB,creativecommons.org,https://v2.sherpa.ac.uk/id/publication/4106,8195:fee_no:no conditions;,3875:fee_no:Publisher copyright and source must be acknowledged Author's archived version must not be amended once its accepted for publication Must link to publisher version;,None
0000-0001-6297-4298,10.1108/JHOM-02-2023-0036,1477-7266,https://www.emerald.com/insight/site-policies,www.emerald.com,https://v2.sherpa.ac.uk/id/publication/2842,53:fee_no:Academic Social Networks / Scholarly Collaboration Networks that have signed up to the Voluntary STM Sharing Principles Must not have its copyright assigned to pre-print server Must be updated with set statement once accepted Must inform editor of pre-print deposit Must link to publisher version with DOI when available Published source must be acknowledged with citation when available;,54:fee_no:Academic Social Network/ Scholarly Collaboration Networks that have signed up to the Voluntary STM Sharing Principles Deposit may occur upon publication Must link to publisher version with DOI Published source must be acknowledged with citation;,None
0009-0001-0969-055X,10.55982/openpraxis.17.2.832,2304-070X,No URL retrieved,,https://v2.sherpa.ac.uk/id/publication/25564,None,None,None
0000-0002-3772-5561,10.1123/jpah.2024-0225,1543-3080,No URL retrieved,,https://v2.sherpa.ac.uk/id/publication/12252,None,3849:fee_no:Publisher copyright and source must be acknowledged Must link to publisher version with DOI Set statement to accompany deposit (see policy);,None
0009-0009-2327-7890,10.1002/fer3.48,2835-9402,http://creativecommons.org/licenses/by/4.0/,creativecommons.org,https://v2.sherpa.ac.uk/id/publication/45752,8051:fee_no:Publisher source must be acknowledged with citation Must link to published article with DOI;,None,None
0000-0002-2953-4845,10.1021/acs.est.4c10360,0013-936X,https://doi.org/10.15223/policy-029,doi.org,https://v2.sherpa.ac.uk/id/publication/7774,None,None,710:fee_yes:no conditions;
0000-0001-9229-8569,10.58188/1941-8043.1920,1941-8043,No URL retrieved,,https://v2.sherpa.ac.uk/id/publication/29503,None,None,None
0000-0001-9229-8569,10.33137/cjal-rcbu.v11.44650,2369-937X,https://creativecommons.org/licenses/by-nc/4.0,creativecommons.org,https://v2.sherpa.ac.uk/id/publication/39503,None,None,None
0000-0001-9229-8569,10.63409/2024.49,2563-8882,http://creativecommons.org/licenses/by-nc/4.0,creativecommons.org,None,None,None,None
0009-0003-4263-5821,10.1177/01454455251332545,0145-4455,https://journals.sagepub.com/page/policies/text-and-data-mining-license,journals.sagepub.com,https://v2.sherpa.ac.uk/id/publication/6431,None,None,None
0000-0001-9637-6106,10.1080/10550887.2024.2355370,1055-0887,No URL retrieved,,https://v2.sherpa.ac.uk/id/publication/5487,None,None,None
0000-0001-9637-6106,10.1016/j.paid.2018.01.012,0191-8869,https://www.elsevier.com/tdm/userlicense/1.0/,www.elsevier.com,https://v2.sherpa.ac.uk/id/publication/17121,None,10970:fee_no:Must link to publisher version with DOI;,10972:fee_yes:Published source must be acknowledged with citation;10973:fee_yes:Published source must be acknowledged with citation;
0009-0005-9150-8700,10.1113/JP289269,0022-3751,http://onlinelibrary.wiley.com/termsAndConditions#vor,onlinelibrary.wiley.com,https://v2.sherpa.ac.uk/id/publication/6978,11204:fee_no:Must acknowledge acceptance for publication May not be updated with Publisher's Version/PDF Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,None,None
0000-0001-9889-5313,10.1029/2023JE008184,2169-9097,http://creativecommons.org/licenses/by/4.0/,creativecommons.org,https://v2.sherpa.ac.uk/id/publication/11077,"1013:fee_no:Set statement to accompany deposit (see policy) Upon publication, published source must be acknowledged with citation Upon publication, must link to published article with DOI;",None,9708:fee_no:Published source must be acknowledged with citation Copyright must be acknowledged Must link to published article with DOI;
0000-0001-9889-5313,10.1126/sciadv.adr2613,2375-2548,No URL retrieved,,https://v2.sherpa.ac.uk/id/publication/29739,None,None,None
0000-0001-8418-449X,10.14814/phy2.70299,2051-817X,http://creativecommons.org/licenses/by/4.0/,creativecommons.org,https://v2.sherpa.ac.uk/id/publication/27408,8051:fee_no:Publisher source must be acknowledged with citation Must link to published article with DOI;,None,None
0000-0003-2063-6869,10.1007/s40979-025-00180-z,1833-2595,https://creativecommons.org/licenses/by-nc-nd/4.0,creativecommons.org,https://v2.sherpa.ac.uk/id/publication/30857,None,None,None
0000-0001-7621-752X,10.1089/aut.2024.0179,2573-9581,https://www.liebertpub.com/nv/resources-tools/text-and-data-mining-policy/121/,www.liebertpub.com,https://v2.sherpa.ac.uk/id/publication/37018,None,387:fee_no:Must acknowledge published source and copyright Set statement to accompany (see policy) Must not be updated or replaced with article of record unless author pays for Open Access;,388:fee_yes:Published source must be acknowledged with citation;
0000-0001-7621-752X,10.1108/PIJPSM-06-2024-0096,1363-951X,https://www.emerald.com/insight/site-policies,www.emerald.com,https://v2.sherpa.ac.uk/id/publication/2974,53:fee_no:Academic Social Networks / Scholarly Collaboration Networks that have signed up to the Voluntary STM Sharing Principles Must not have its copyright assigned to pre-print server Must be updated with set statement once accepted Must inform editor of pre-print deposit Must link to publisher version with DOI when available Published source must be acknowledged with citation when available;,54:fee_no:Academic Social Network/ Scholarly Collaboration Networks that have signed up to the Voluntary STM Sharing Principles Deposit may occur upon publication Must link to publisher version with DOI Published source must be acknowledged with citation;,None
0000-0001-9219-0232,10.4049/immunohorizons.2000040,2573-7732,https://creativecommons.org/licenses/by/4.0/,creativecommons.org,https://v2.sherpa.ac.uk/id/publication/37129,None,None,None
0000-0003-2126-3160,10.1016/j.appdev.2025.101769,0193-3973,https://www.elsevier.com/tdm/userlicense/1.0/,www.elsevier.com,https://v2.sherpa.ac.uk/id/publication/12455,None,10970:fee_no:Must link to publisher version with DOI;,10972:fee_yes:Published source must be acknowledged with citation;10973:fee_yes:Published source must be acknowledged with citation;
0000-0003-2126-3160,10.1080/13676261.2024.2392197,1367-6261,No URL retrieved,,https://v2.sherpa.ac.uk/id/publication/5793,None,52:fee_no:Published source must be acknowledged with citation Must link to publisher version Set statements to accompany deposits (see policy);,None
0000-0003-2126-3160,10.1016/j.lindif.2023.102405,1041-6080,https://www.elsevier.com/tdm/userlicense/1.0/,www.elsevier.com,https://v2.sherpa.ac.uk/id/publication/16787,None,11157:fee_no:Must link to publisher version with DOI;11161:fee_no:Must link to published article with DOI Publisher source must be acknowledged with citation;,11159:fee_yes:Published source must be acknowledged with citation;11160:fee_yes:no conditions;
0000-0003-2126-3160,10.1037/cap0000357,1878-7304,http://www.apa.org/pubs/journals/resources/open-access.aspx,www.apa.org,https://v2.sherpa.ac.uk/id/publication/3409,None,None,None
0000-0003-2126-3160,10.1111/cdev.13855,0009-3920,http://onlinelibrary.wiley.com/termsAndConditions#vor,onlinelibrary.wiley.com,https://v2.sherpa.ac.uk/id/publication/6839,11204:fee_no:Must acknowledge acceptance for publication May not be updated with Publisher's Version/PDF Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,None,None
0000-0003-2126-3160,10.1007/s10862-022-09972-w,0882-2689,https://www.springer.com/tdm,www.springer.com,https://v2.sherpa.ac.uk/id/publication/15734,None,None,None
0000-0003-2126-3160,10.1016/j.paid.2021.111492,0191-8869,https://www.elsevier.com/tdm/userlicense/1.0/,www.elsevier.com,https://v2.sherpa.ac.uk/id/publication/17121,None,10970:fee_no:Must link to publisher version with DOI;,10972:fee_yes:Published source must be acknowledged with citation;10973:fee_yes:Published source must be acknowledged with citation;
0000-0003-2126-3160,10.1123/jsep.2020-0118,0895-2779,No URL retrieved,,https://v2.sherpa.ac.uk/id/publication/12253,None,3849:fee_no:Publisher copyright and source must be acknowledged Must link to publisher version with DOI Set statement to accompany deposit (see policy);,None
0000-0001-5855-3706,10.1080/17445760.2024.2413509,1744-5760,No URL retrieved,,https://v2.sherpa.ac.uk/id/publication/5422,None,None,None
0000-0001-5855-3706,10.61947/uw.PF.2024.75.3-4.41-62,0032-5430,No URL retrieved,,None,None,None,None
0000-0001-5855-3706,10.48550/ARXIV.2312.14959,No ISSN found,No URL retrieved,,None,None,None,None
0000-0001-8086-7752,10.1080/15265161.2025.2488264,1526-5161,No URL retrieved,,https://v2.sherpa.ac.uk/id/publication/6161,None,None,None
0000-0001-8086-7752,10.1111/soin.70000,0038-0245,http://creativecommons.org/licenses/by-nc/4.0/,creativecommons.org,https://v2.sherpa.ac.uk/id/publication/6966,11212:fee_no:May not be updated with Publisher's Version/PDF Must acknowledge acceptance for publication Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,11213:fee_no:Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,None
0000-0002-3626-5903,10.18584/iipj.2024.15.3.15359,1916-5781,https://creativecommons.org/licenses/by-nc-nd/4.0,creativecommons.org,https://v2.sherpa.ac.uk/id/publication/40601,None,None,None
