ORCID,PUB_DATE,DOI,already_oa,issn,policy_uri,submitted_oa_policy,accepted_oa_policy,published_oa_policy
,2025-04-15,https://doi.org/10.1038/s42255-025-01264-3,yes,2522-5812,https://v2.sherpa.ac.uk/id/publication/35368,"11461:fee_no:Must link to publisher version Upon publication, source must be acknowledged and DOI cited Post-prints are subject to Springer Nature re-use terms Non-commercial use only;",11462:fee_no:Must link to publisher version Published source must be acknowledged and DOI cited Post-prints are subject to Springer Nature re-use terms Non-commercial use only;,None
https://orcid.org/0000-0001-7350-6991,2025-03-10,https://doi.org/10.1038/s41593-025-01880-y,no,1097-6256,https://v2.sherpa.ac.uk/id/publication/1657,"11461:fee_no:Must link to publisher version Upon publication, source must be acknowledged and DOI cited Post-prints are subject to Springer Nature re-use terms Non-commercial use only;",11462:fee_no:Must link to publisher version Published source must be acknowledged and DOI cited Post-prints are subject to Springer Nature re-use terms Non-commercial use only;,None
https://orcid.org/0000-0003-4793-7899,2025-01-24,https://doi.org/10.1126/sciadv.adr2613,yes,2375-2548,https://v2.sherpa.ac.uk/id/publication/29739,None,None,None
https://orcid.org/0000-0001-7604-6046,2025-02-03,https://doi.org/10.3389/fmars.2025.1473382,yes,2296-7745,https://v2.sherpa.ac.uk/id/publication/26075,None,None,None
https://orcid.org/0000-0002-8238-9560,2025-02-01,https://doi.org/10.1016/j.jbc.2025.108327,yes,0021-9258,https://v2.sherpa.ac.uk/id/publication/10347,None,None,None
https://orcid.org/0000-0001-9068-401X,2025-01-06,https://doi.org/10.1007/s11356-024-35787-1,no,0944-1344,https://v2.sherpa.ac.uk/id/publication/7949,None,None,None
,2025-01-13,https://doi.org/10.1139/apnm-2024-0302,no,1715-5312,https://v2.sherpa.ac.uk/id/publication/10122,8195:fee_no:no conditions;,3875:fee_no:Publisher copyright and source must be acknowledged Author's archived version must not be amended once its accepted for publication Must link to publisher version;,None
https://orcid.org/0000-0001-9699-9098,2025-01-23,https://doi.org/10.1177/19485506241305698,yes,1948-5506,https://v2.sherpa.ac.uk/id/publication/9475,None,None,None
https://orcid.org/0000-0002-9757-2771,2025-01-01,https://doi.org/10.1093/abm/kaaf002,no,0883-6612,https://v2.sherpa.ac.uk/id/publication/13071,None,39:fee_no:Publisher source must be acknowledged with citation Must link to publisher version with DOI Set phrase to accompany archived copy;,None
https://orcid.org/0000-0002-6293-4197,2025-02-03,https://doi.org/10.1111/dar.14010,yes,0959-5236,https://v2.sherpa.ac.uk/id/publication/6781,11219:fee_no:May not be updated with Publisher's Version/PDF Must acknowledge acceptance for publication Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,11220:fee_no:Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);11221:fee_no:Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,None
